"","eigenvalue","percentage of variance","cumulative percentage of variance"
"comp 47",37.5378310128066,0.205532103997021,90.714681778154
"comp 48",37.2004905764,0.194385157906254,90.9090669360603
"comp 49",36.8763154303379,0.193504443865818,91.1025713799261
"comp 50",36.5392678050928,0.181996296321611,91.2845676762477
"comp 51",36.1053005054341,0.179237051329153,91.4638047275768
"comp 52",35.663453943781,0.174439695875242,91.6382444234521
"comp 53",35.2850831667955,0.173481081264642,91.8117255047167
"comp 54",34.6785679070261,0.168776704021764,91.9805022087385
"comp 55",34.6235922573466,0.159947470635615,92.1404496793741
"comp 56",34.3051161745341,0.158452324632321,92.2989020040064
"comp 57",34.219003492535,0.156960168450504,92.4558621724569
"comp 58",33.8249307937938,0.146958487956867,92.6028206604138
"comp 59",33.621916304617,0.142480961453789,92.7453016218676
"comp 60",33.244416481665,0.139835323625783,92.8851369454934
"comp 61",32.685581992808,0.136666552303399,93.0218034977968
"comp 62",32.6120654127046,0.129642728143826,93.1514462259406
"comp 63",32.0997650186515,0.123549442888852,93.2749956688294
"comp 64",31.5614172458133,0.120540324809768,93.3955359936392
"comp 65",31.2965017389744,0.117683532828277,93.5132195264675
"comp 66",31.0823051345547,0.114450366272933,93.6276698927404
"comp 67",30.8577942833336,0.110945261807191,93.7386151545476
"comp 68",30.4583930180778,0.108363711611486,93.8469788661591
"comp 69",30.3600631970543,0.105445271294239,93.9524241374533
"comp 70",30.3008254460162,0.103407300286782,94.0558314377401
"comp 71",30.1434108082285,0.0997303570182651,94.1555617947584
"comp 72",29.7211146515601,0.0968270531718311,94.2523888479302
"comp 73",29.633288292776,0.0956287843198792,94.3480176322501
"comp 74",29.4256480375675,0.094843776276442,94.4428614085265
"comp 75",29.0807869540395,0.0947347964010484,94.5375962049276
"comp 76",28.877821338964,0.0912513340021955,94.6288475389298
"comp 77",28.7464514727868,0.0887622562026339,94.7176097951324
"comp 78",28.335523531012,0.0871358245053913,94.8047456196378
"comp 79",28.1179044334013,0.0858388411974653,94.8905844608353
"comp 80",27.9329207189552,0.085385435064039,94.9759698958993
"comp 81",27.7106693086103,0.0820279489116754,95.057997844811
"comp 82",27.5800490931055,0.079071144256008,95.137068989067
"comp 83",27.0145688944491,0.07764158132613,95.2147105703931
